,Logistic Regression,Naïve Bayes,KNN,Support Vector Machine,Decision Tree,Random Forest,Naive Bayes + SVM + Random Forest
Accuracy Before Cross Validation,93.41%,93.19%,92.80%,93.45%,89.45%,93.81%,93.19%
Accuracy After Cross Validation,93.36%,93.36%,92.97%,93.36%,88.81%,93.84%,93.36%
